CRASH_RECORD_ID,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,CRASH_TYPE,DAMAGE,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH
105766eb70d5894dd53ea8f314cbdfebd5c2112cc5f1d16d8c739355859fac10d9c721486f0d40705225de7a7d98b87e3378d81141831ebc606c642c54a4bca4,2020-11-20 15:30:00,30,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,2221,N,PULASKI RD,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15,6,11
ea08454ea6707b9c152e4bb4780f3389a475e9938876623c48840a269d1578318c27efee425cf7d5e40c59bf18a9de30c482bd1c27e601a20968b14e5dadf4af,2018-02-17 19:30:00,35,STOP SIGN/FLASHER,UNKNOWN,SNOW,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN,NO INJURY / DRIVE AWAY,$500 OR LESS,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2932,W,BELLE PLAINE AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,7,2
2331bfec10054e5c9a17d58e781609f82a0868c23d026b8c42c1e45267702a005b6c9a8472ecec369fbb96ab29efdccea04ea0db373e4faaad56374de11fa9f3,2022-07-29 12:00:00,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,1718,S,STATE ST,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,6,7
cd3e6d886d50da618bfef181641b5d88e6b8b1325ff8d1890d9855a9ddbe37bcd07aee5278e6bc33f0a264bcc2b25310fff257cb2f04a413ef1ff04c35dc3235,2019-05-05 02:05:00,30,STOP SIGN/FLASHER,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,1899,N,SPAULDING AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1,5
a92dce5a511225e9af04ce97ef5a847aed96ba5eab8069e47a46771904392032b050bccbd95b3920f4c714cba3aa9ba897ea9eb115b8ee7c7e6b49b0f20218ce,2022-10-02 21:48:00,15,YIELD,OTHER,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,ALLEY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,3135,W,65TH ST,2,"REPORTED, NOT EVIDENT",2.0,0.0,0.0,0.0,2.0,2.0,0.0,21,1,10
5ec347e17180c5690dbd5c9634929cd3a07e5a42e9b70ff4a14bcb59b95ced41332c251694be40184550e20788aebd0d672b3cf98c3dd0b9b7b710529dc6a181,2018-12-04 07:40:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,NO INJURY / DRIVE AWAY,"OVER $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,4009,S,PULASKI RD,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7,3,12
eb35062d55f0f6b4ab0c01beeab3ed07de34faf34e51d61db4ef9a8eb35f5ce83b2e6ce8448750636cb41baf164f992921c3bd25e45340cc56d0155c780de83e,2023-05-24 22:36:00,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"OVER $1,500",NOT APPLICABLE,NOT APPLICABLE,6801,S,MAPLEWOOD AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22,4,5
f92b952f55715c7f967ca7387bacfe9d4b7a7623b46dd394b5aae939f2d8feb0def32ded649eea075f828fb8303d9725b5e5535c8ed1f0c515fe6561c3f9b9ea,2022-10-22 20:09:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,46,W,110TH PL,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20,7,10
8a16bd55188cab028f3ab57d2364023f26173ceae036aacc31ed28364f7cd0f09b0a38cbfb57b296a2bb48b074e7176a267aca34179d4cabb12088f2c9fe860a,2017-06-26 04:30:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,2398,W,51ST ST,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4,2,6
6abe8cc4b354471f875d0d7f46d1d662d9fad9d431f5c33e55174b6416c9cdd8192f94e74d60c394d7c7f251b37db5d722d8b164fce9cffd54d2a074911407be,2017-10-24 18:25:00,30,NO CONTROLS,NO CONTROLS,RAIN,DARKNESS,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,NO INJURY / DRIVE AWAY,"$501 - $1,500",IMPROPER OVERTAKING/PASSING,IMPROPER OVERTAKING/PASSING,2426,W,PETERSON AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18,3,10
bab84e2678eae8e043eac70ac28d52644be16716d43e1a1f00855dfbba49d11dffea5b10d95c947c115b6c8ba7fd15524b132c7f02d91b7d37a7a2de4a3e277e,2020-05-15 09:45:00,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,TURNING,FOUR WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,4800,N,EAST RIVER RD,2,INCAPACITATING INJURY,1.0,0.0,1.0,0.0,0.0,1.0,0.0,9,6,5
0f5756ce4e2fde14ccbf3a7e46c343e9e1d77ac81058be55325974aba9347a80c6e44709c1b69b4085589c7087329a1896a9635b30c1032973b2604cc9b8a2ce,2023-03-13 08:40:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,$500 OR LESS,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1551,W,FULLERTON AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,2,3
ed78e3af61fed8601950e11e5cc77ab8d9a6e9f3b7f1a69446ab0e5d0b872c75905119a21ce86ac6171adbdb4d09034e70b6f1d7baa85340e338b1dd936e7a0b,2022-09-18 02:28:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,OTHER OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,654,N,KINGSBURY ST,1,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,9
2d1f7b966d461e40eef659b18f81f70aacfab3fe1eb5edebe7554f79694de18da00270627a56b7e59bc8f280f7165920095495303015cbf00bd6129e23195982,2021-11-19 10:30:00,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"OVER $1,500",IMPROPER LANE USAGE,NOT APPLICABLE,600,N,WELLS ST,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10,6,11
bc8149c24b25121dbea5a68e49554c9287102579920d228d892f02ae077fb1efe2385cea1068acc96e1a45ac57212bbca9e7cbb85677a44e776832cfeeae7957,2022-04-26 11:00:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"$501 - $1,500",FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,410,N,FRANKLIN ST,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11,3,4
3093dbdb38a17271d1d206b973a9b4829abf0d260319e7486adce2e56f989611e6c3a519dbc1ef27280ca102561d07bd4540c8d14c444e28d92e67743d5517e6,2017-10-25 15:40:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"$501 - $1,500",UNABLE TO DETERMINE,FAILING TO YIELD RIGHT-OF-WAY,3417,N,WESTERN AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,4,10
d08296abd9c3358c6d51e34a6d4bf3745fde21e50ce790571348daecc9429274b7049f0f831606fcaf5bbddd8bf417dcc5cc4252ad4f9395e9f97ec45e60358a,2019-02-15 18:15:00,35,UNKNOWN,UNKNOWN,UNKNOWN,DAYLIGHT,REAR END,PARKING LOT,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NO INJURY / DRIVE AWAY,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,716,E,87TH ST,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,6,2
4b29d02f94246524adfca76ce16ea5ca4e8bc3e7b5214da06f98cdf89a7c5023af7e17d7352e5ed8b71ea7b082406221c9dccebb745c0bc705afeff8a75f64a4,2022-05-21 01:59:00,30,NO CONTROLS,NO CONTROLS,OTHER,"DARKNESS, LIGHTED ROAD",HEAD ON,NOT DIVIDED,STRAIGHT AND LEVEL,WET,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),NOT APPLICABLE,3500,W,ARMITAGE AVE,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,7,5
c7fbdf3122885766413ec72aa4fdcf9f6f59373699460f5740c5fddf8b542fa170af1f606cecd1a1467b5e2c668c960b4713a1ff6f06472d2d8b9c947a6b3c45,2019-03-27 15:45:00,15,OTHER,UNKNOWN,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,7100,S,RIDGELAND AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,4,3
55fd3a3412e81bfa2d3062c10dedb8588f059267da463a5f94872c23f60a24bdfddd301b0cfe182b374a5caadfa96deae80af8cf19564a8b93c6d66eb2e354fa,2024-01-02 12:00:00,25,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NO INJURY / DRIVE AWAY,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,2201,W,BYRON ST,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12,3,1
fbfd85b40d9d89e91ce81e6aaa6b8310a94188fad9d1e2ca693f91fee7fca80f1585c19359dfc0c918f6f28901865a3a4802237f9857f06273e504d4a0ec2375,2016-10-02 01:35:00,25,NO CONTROLS,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,FIXED OBJECT,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DISTRACTION - FROM INSIDE VEHICLE,6820,S,LOWE AVE,1,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,1,10
c16305ca72c9b6934d73d66bbfd235571b58a9083e58b8af979f3fd6f3ad655813df3a6f33b9b6f8d69f1ad5a2982af3292e52e0e98dd453a811c4d45aa15810,2018-08-27 21:00:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,ONE-WAY,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",NO INJURY / DRIVE AWAY,$500 OR LESS,NOT APPLICABLE,NOT APPLICABLE,7636,S,LAFAYETTE AVE,1,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,2,8
9d31634d2f7eda4327cb7fd9a354de9e582e98f35e506e302a5f25fde3f0447a46f3e6ce91c93f2f8f1db6abb343b055ef24a5f2c2c670d910ffb9eae6296e2d,2018-06-09 16:17:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,900,W,MADISON ST,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,7,6
298698218da603e774bfb690ac4b139852066c76056fb2509ff4f67e516394db56a2a599af4b68b39f33a389425c3ead302512f4b704ffa8cd63fc60fa6b5c10,2016-01-12 12:00:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NO INJURY / DRIVE AWAY,"OVER $1,500",FOLLOWING TOO CLOSELY,NOT APPLICABLE,2024,S,CALIFORNIA AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12,3,1
e319b02f824ccb8752e2d4b4f6ad8d2c838eff7a59fb47f4abdced21f4bc4774ecec6c613b8dd360908ca0d48eafc3b92080d20db7fac98986b178764f83b159,2018-02-01 10:35:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"$501 - $1,500",IMPROPER BACKING,NOT APPLICABLE,5458,S,HALSTED ST,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,5,2
b814b61d71f7085e131590c3c1afab73a4d2c0e1763868a69053163ff00130438278afb8e3ae547cb2d5f8e5f39a7c05dcd947ed6dfffcbd2ae26b5cfe82d627,2021-08-04 18:45:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"$501 - $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,FOLLOWING TOO CLOSELY,2400,W,LOGAN BLVD,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18,4,8
f3ded9520523ed599c69d1122aaaac2c4ac21debd4158864014992d89d4102024eb7e8aeb676eca2ab03524122e4fd88347871c1fc079e39cf24cb0b36e65e51,2019-02-18 15:39:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,5900,S,DAMEN AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,2,2
628531f41b91b9aa936df19d13fef34d7260c8ecd78aebe595e3e6232c9c111d3f9c30d9c9c4bce9faadc605a7273756d7c0f637435e8f3e5c1d6a42b33b8548,2023-01-04 22:03:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,NO INJURY / DRIVE AWAY,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,2945,W,TOUHY AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,4,1
9f2ae638b74c11d6454fc8f8a389c8ec8d7cd6b137e31fe4b4bfcb0da6704e95962acb91d6458ca64125bcd291047727c38e44e8351dad40cb4d64c504e9bb89,2021-05-09 16:45:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FOLLOWING TOO CLOSELY,NOT APPLICABLE,120,W,CERMAK RD,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,16,1,5
f9b9d996dd446af023fec42a207ac1dc6e1218940a38f3ce8aaa715a3816366dcb5d562593e509c8f5fab36cae391eed81eadec78ccf890c220997ea445ed947,2023-09-21 13:45:00,30,NO CONTROLS,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,2347,W,CHICAGO AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13,5,9
20db5854bc10dbb59fd381a9913ea0684d3f6c9a50db7ba6bf4ef8a4fc928719c796e0563d433f50b71dca4dadc9138f70967ebb48f3b1c42f533b714fe73000,2018-06-29 21:55:00,35,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",IMPROPER BACKING,UNABLE TO DETERMINE,5216,N,LINCOLN AVE,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21,6,6
